"id";"student_id";"status";"amount_due"
1;1;"Paid";0.0
2;2;"Paid";0.0
3;3;"Partial";512.48
4;4;"Partial";434.69
5;5;"Paid";0.0
6;6;"Paid";0.0
7;7;"Paid";0.0
8;8;"Partial";3249.42
9;9;"Paid";0.0
10;10;"Due";4047.15
11;11;"Paid";0.0
12;12;"Due";1389.36
13;13;"Due";511.05
14;14;"Due";4237.47
15;15;"Paid";0.0
16;16;"Partial";624.13
17;17;"Paid";0.0
18;18;"Partial";3092.6
19;19;"Partial";961.44
20;20;"Partial";1139.49
21;21;"Paid";0.0
22;22;"Paid";0.0
23;23;"Due";3178.42
24;24;"Due";1776.35
25;25;"Partial";4683.27
26;26;"Partial";3174.89
27;27;"Paid";0.0
28;28;"Due";1349.74
29;29;"Partial";2784.75
30;30;"Paid";0.0
31;31;"Paid";0.0
32;32;"Due";1338.7
33;33;"Partial";4381.84
34;34;"Partial";2496.16
35;35;"Partial";2294.26
36;36;"Paid";0.0
37;37;"Partial";1313.71
38;38;"Partial";1997.0
39;39;"Paid";0.0
40;40;"Paid";0.0
41;41;"Paid";0.0
42;42;"Paid";0.0
43;43;"Due";2982.05
44;44;"Partial";4980.61
45;45;"Partial";4303.9
46;46;"Partial";572.76
47;47;"Due";3842.99
48;48;"Due";2173.83
49;49;"Partial";4379.26
50;50;"Partial";3809.81
51;51;"Paid";0.0
52;52;"Due";4208.35
53;53;"Paid";0.0
54;54;"Paid";0.0
55;55;"Partial";4592.47
56;56;"Due";97.38
57;57;"Due";1197.26
58;58;"Partial";4734.75
59;59;"Due";4080.12
60;60;"Partial";3829.17
61;61;"Due";4734.24
62;62;"Partial";4362.17
63;63;"Paid";0.0
64;64;"Partial";3449.34
65;65;"Due";4975.75
66;66;"Due";4498.07
67;67;"Paid";0.0
68;68;"Due";105.17
69;69;"Partial";1101.09
70;70;"Partial";294.37
71;71;"Paid";0.0
72;72;"Paid";0.0
73;73;"Due";3344.89
74;74;"Paid";0.0
75;75;"Partial";2881.06
76;76;"Due";4037.48
77;77;"Paid";0.0
78;78;"Due";2117.89
79;79;"Partial";270.86
80;80;"Partial";492.09
81;81;"Due";4002.96
82;82;"Paid";0.0
83;83;"Due";700.91
84;84;"Due";1249.03
85;85;"Due";4040.11
86;86;"Paid";0.0
87;87;"Partial";4180.14
88;88;"Paid";0.0
89;89;"Due";2406.79
90;90;"Paid";0.0
91;91;"Paid";0.0
92;92;"Due";4632.59
93;93;"Due";2115.04
94;94;"Partial";3309.36
95;95;"Paid";0.0
96;96;"Paid";0.0
97;97;"Partial";304.79
98;98;"Paid";0.0
99;99;"Partial";4596.94
100;100;"Paid";0.0
